,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_exponent_n_steps,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_net_arch,user_attrs_gamma_,user_attrs_n_steps,system_attrs_fixed_params,state
25,25,247.0,2023-01-29 01:53:33.685985,2023-01-29 02:00:28.106950,0 days 00:06:54.420965,tanh,8,0.00187525045009257,0.09922128511737038,8.624223482174064e-05,1.0594321842163235,small,0.9007787148826296,256,,COMPLETE
26,26,349.0,2023-01-29 02:00:28.107704,2023-01-29 02:07:17.219162,0 days 00:06:49.111458,relu,10,0.0003266944868154859,0.05356272993778116,1.1838493359212442e-05,2.4957426299029937,tiny,0.9464372700622188,1024,,COMPLETE
27,27,140.0,2023-01-29 02:07:17.219906,2023-01-29 02:14:09.991317,0 days 00:06:52.771411,tanh,9,0.0063408611055364205,0.014117531530003237,0.0030651827768318823,1.8493448899059233,small,0.9858824684699967,512,,COMPLETE
28,28,150.0,2023-01-29 02:14:09.991945,2023-01-29 02:21:05.601388,0 days 00:06:55.609443,tanh,7,0.0008338603118010681,0.030355197467960365,0.0004842480736131244,3.9461494620858355,small,0.9696448025320397,128,,COMPLETE
29,29,623.0,2023-01-29 02:21:05.602132,2023-01-29 02:28:02.682014,0 days 00:06:57.079882,tanh,10,0.00203327365527251,0.09464198277661112,0.0001553717557577329,1.445071823886823,small,0.9053580172233888,1024,,COMPLETE
30,30,110.0,2023-01-29 02:28:02.682748,2023-01-29 02:34:58.262911,0 days 00:06:55.580163,tanh,5,0.0041363440522481885,0.00258180910331119,0.0023240497766504435,3.060888285277531,small,0.9974181908966888,32,,COMPLETE
31,31,110.0,2023-01-29 02:34:58.263679,2023-01-29 02:41:50.014290,0 days 00:06:51.750611,tanh,9,0.0002243727814653251,0.009290207149926143,0.0003899743107198374,1.6360387531146479,small,0.9907097928500739,512,,COMPLETE
32,32,413.0,2023-01-29 02:41:50.015050,2023-01-29 02:48:40.367416,0 days 00:06:50.352366,tanh,10,0.00025874049572676794,0.014161800830966827,0.000629413978734344,1.049077749936196,small,0.9858381991690331,1024,,COMPLETE
33,33,720.0,2023-01-29 02:48:40.368116,2023-01-29 02:55:37.866407,0 days 00:06:57.498291,tanh,9,0.00018771688115922964,0.061689250160848454,0.0003521988235876936,1.4184368638114306,small,0.9383107498391515,512,,COMPLETE
34,34,140.0,2023-01-29 02:55:37.867157,2023-01-29 03:02:36.417543,0 days 00:06:58.550386,tanh,10,0.0005133148524166237,0.03183288590702578,4.69844727072399e-05,2.2682271290889013,small,0.9681671140929742,1024,,COMPLETE
35,35,138.0,2023-01-29 03:02:36.418262,2023-01-29 03:09:32.168240,0 days 00:06:55.749978,relu,8,0.0009954881166402247,0.0024756928209470736,0.00012131675669629376,0.8313210504613137,small,0.9975243071790529,256,,COMPLETE
36,36,642.0,2023-01-29 03:09:32.169026,2023-01-29 03:16:28.121333,0 days 00:06:55.952307,tanh,9,0.0027035212598374965,0.06460696577689674,0.0002864979403595268,1.855759208871259,small,0.9353930342231033,512,,COMPLETE
37,37,140.0,2023-01-29 03:16:28.122056,2023-01-29 03:23:22.564254,0 days 00:06:54.442198,tanh,10,0.04888821573205639,0.00033819542716103024,0.009645427000197375,0.4470294179077304,tiny,0.9996618045728389,1024,,COMPLETE
38,38,140.0,2023-01-29 03:23:22.564968,2023-01-29 03:30:12.075172,0 days 00:06:49.510204,relu,8,0.0006605008546981864,0.02026073447990791,0.0022418898089848704,1.272877737923624,small,0.979739265520092,256,,COMPLETE
39,39,457.0,2023-01-29 03:30:12.075750,2023-01-29 03:37:08.596908,0 days 00:06:56.521158,tanh,10,0.11320385080154166,0.003991938483839773,3.6269913852139186e-05,1.6104936598946464,small,0.9960080615161603,1024,,COMPLETE
40,40,110.0,2023-01-29 03:37:08.597478,2023-01-29 03:43:58.086085,0 days 00:06:49.488607,tanh,9,0.16856020064727248,0.036634645207985435,0.9862664367660078,2.7472758234268495,tiny,0.9633653547920146,512,,COMPLETE
41,41,718.0,2023-01-29 03:43:58.086806,2023-01-29 03:50:55.190397,0 days 00:06:57.103591,tanh,10,0.01242190978561658,0.09734675369196297,0.0015511670430417347,4.403051838156841,small,0.902653246308037,1024,,COMPLETE
42,42,428.0,2023-01-29 03:50:55.191078,2023-01-29 03:57:47.731474,0 days 00:06:52.540396,tanh,10,0.009156122514356045,0.061902189531898924,0.0014898189367370939,3.5741137430753795,small,0.938097810468101,1024,,COMPLETE
43,43,140.0,2023-01-29 03:57:47.732079,2023-01-29 04:04:46.012559,0 days 00:06:58.280480,tanh,9,0.015896557948325604,0.07860564418498663,0.005889251673110469,4.440436909069718,small,0.9213943558150134,512,,COMPLETE
44,44,740.0,2023-01-29 04:04:46.013222,2023-01-29 04:11:42.083948,0 days 00:06:56.070726,tanh,10,0.005253901324046414,0.05316599259231164,0.0006771703213110604,3.1801635664133094,small,0.9468340074076884,1024,,COMPLETE
